Price,Layer,architecturalyear,surfacearea,numberofparking,numberofDong,Residentialarea,Dedicatedarea,time,km2,fee,bus,subm,culture,sports,contractdate,Address,Totalgeneration,buildingarea,X,Y,Col0,apt
157000,6,1984,63304,419,5,53437.05,104,29,5,1250,2,414,6,3,8,개포동,405,61064.24,37.4838941,127.0559898,1,개포우성3차
174000,13,1984,63304,419,5,53437.05,104,29,5,1250,2,414,6,3,25,개포동,405,61064.24,37.4838941,127.0559898,3,개포우성3차
230000,3,1984,63304,419,5,53437.05,133,29,5,1250,2,414,6,3,1,개포동,405,61064.24,37.4838941,127.0559898,4,개포우성3차
315000,13,2004,70291,0,4,35547.31,214,26,4,1250,1,386,11,2,8,논현동,203,0,37.5147528,127.0381516,12,동양파라곤
41000,12,2004,21244,200,1,9435.4,36,16,2,1200,5,245,5,1,6,논현동,260,0,37.5138873,127.0289105,17,마일스디오빌
38200,7,2004,21244,200,1,9435.4,36,16,2,1200,5,245,5,1,12,논현동,260,0,37.5138873,127.0289105,18,마일스디오빌
38700,4,2004,21244,200,1,9435.4,36,16,2,1200,5,245,5,1,19,논현동,260,0,37.5138873,127.0289105,21,마일스디오빌
158000,2,2014,74812,645,4,33279.96,84,21,3,1250,4,443,10,0,12,논현동,368,3587,37.509505,127.0389311,22,아크로힐스논현
158000,10,2014,74812,645,4,33279.96,84,21,3,1250,4,443,10,0,16,논현동,368,3587,37.509505,127.0389311,24,아크로힐스논현
150000,1,2014,74812,645,4,33279.96,84,21,3,1250,4,443,10,0,27,논현동,368,3587,37.509505,127.0389311,27,아크로힐스논현
175000,22,2014,74812,645,4,33279.96,84,21,3,1250,4,443,10,0,29,논현동,368,3587,37.509505,127.0389311,31,아크로힐스논현
157500,21,2014,74812,645,4,33279.96,84,21,3,1250,4,443,10,0,10,논현동,368,3587,37.509505,127.0389311,32,아크로힐스논현
180000,19,2014,74812,645,4,33279.96,84,21,3,1250,4,443,10,0,1,논현동,368,3587,37.509505,127.0389311,35,아크로힐스논현
175000,10,2000,142507,1238,14,83135.34,97,27,4,1200,0,484,9,2,4,대치동,960,8414.21,37.4963363,127.0583563,37,대치삼성
180000,4,2000,142507,1238,14,83135.34,97,27,4,1200,0,484,9,2,17,대치동,960,8414.21,37.4963363,127.0583563,38,대치삼성
139000,12,2000,142507,1238,14,83135.34,60,27,4,1200,0,484,9,2,14,대치동,960,8414.21,37.4963363,127.0583563,43,대치삼성
179500,22,2000,142507,1238,14,83135.34,97,27,4,1200,0,484,9,2,15,대치동,960,8414.21,37.4963363,127.0583563,44,대치삼성
189000,7,2000,142507,1238,14,83135.34,97,27,4,1200,0,484,9,2,22,대치동,960,8414.21,37.4963363,127.0583563,47,대치삼성
145000,22,2000,142507,1238,14,83135.34,60,27,4,1200,0,484,9,2,22,대치동,960,8414.21,37.4963363,127.0583563,48,대치삼성
207000,16,2000,142507,1238,14,83135.34,97,27,4,1200,0,484,9,2,2,대치동,960,8414.21,37.4963363,127.0583563,54,대치삼성
140000,22,2000,142507,1238,14,83135.34,60,27,4,1200,0,484,9,2,12,대치동,960,8414.21,37.4963363,127.0583563,57,대치삼성
181000,9,2000,142507,1238,14,83135.34,85,27,4,1200,0,484,9,2,17,대치동,960,8414.21,37.4963363,127.0583563,60,대치삼성
204500,1,2000,142507,1238,14,83135.34,97,27,4,1200,0,484,9,2,31,대치동,960,8414.21,37.4963363,127.0583563,65,대치삼성
239000,5,2000,142507,1238,14,83135.34,109,27,4,1200,0,484,9,2,14,대치동,960,8414.21,37.4963363,127.0583563,69,대치삼성
197000,7,2000,142507,1238,14,83135.34,85,27,4,1200,0,484,9,2,19,대치동,960,8414.21,37.4963363,127.0583563,72,대치삼성
157600,1,2000,142507,1238,14,83135.34,60,27,4,1200,0,484,9,2,28,대치동,960,8414.21,37.4963363,127.0583563,75,대치삼성
257000,5,2008,147442,1171,11,78559.1,150,22,3,1250,3,205,5,3,25,대치1동,768,5218.09,37.4949838,127.0545833,80,대치아이파크
254000,12,2008,147442,1171,11,78559.1,150,22,3,1250,3,205,5,3,25,대치1동,768,5218.09,37.4949838,127.0545833,81,대치아이파크
149000,4,2008,147442,1171,11,78559.1,60,22,3,1250,3,205,5,3,30,대치1동,768,5218.09,37.4949838,127.0545833,82,대치아이파크
148000,2,2008,147442,1171,11,78559.1,60,22,3,1250,3,205,5,3,1,대치1동,768,5218.09,37.4949838,127.0545833,83,대치아이파크
157500,12,2008,147442,1171,11,78559.1,60,22,3,1250,3,205,5,3,5,대치1동,768,5218.09,37.4949838,127.0545833,84,대치아이파크
190000,15,2008,147442,1171,11,78559.1,85,22,3,1250,3,205,5,3,9,대치1동,768,5218.09,37.4949838,127.0545833,85,대치아이파크
250000,19,2008,147442,1171,11,78559.1,150,22,3,1250,3,205,5,3,25,대치1동,768,5218.09,37.4949838,127.0545833,87,대치아이파크
179000,7,2008,147442,1171,11,78559.1,85,22,3,1250,3,205,5,3,4,대치1동,768,5218.09,37.4949838,127.0545833,88,대치아이파크
247500,12,2008,147442,1171,11,78559.1,120,22,3,1250,3,205,5,3,27,대치1동,768,5218.09,37.4949838,127.0545833,91,대치아이파크
160000,14,2008,147442,1171,11,78559.1,60,22,3,1250,3,205,5,3,7,대치1동,768,5218.09,37.4949838,127.0545833,93,대치아이파크
165000,15,2008,147442,1171,11,78559.1,60,22,3,1250,3,205,5,3,7,대치1동,768,5218.09,37.4949838,127.0545833,94,대치아이파크
260000,17,2008,147442,1171,11,78559.1,120,22,3,1250,3,205,5,3,20,대치1동,768,5218.09,37.4949838,127.0545833,99,대치아이파크
189570,9,2008,147442,1171,11,78559.1,85,22,3,1250,3,205,5,3,22,대치1동,768,5218.09,37.4949838,127.0545833,100,대치아이파크
250000,22,2008,147442,1171,11,78559.1,120,22,3,1250,3,205,5,3,22,대치1동,768,5218.09,37.4949838,127.0545833,101,대치아이파크
207000,10,2008,147442,1171,11,78559.1,85,22,3,1250,3,205,5,3,6,대치1동,768,5218.09,37.4949838,127.0545833,103,대치아이파크
295000,13,2008,147442,1171,11,78559.1,150,22,3,1250,3,205,5,3,10,대치1동,768,5218.09,37.4949838,127.0545833,104,대치아이파크
242000,4,2008,147442,1171,11,78559.1,115,22,3,1250,3,205,5,3,13,대치1동,768,5218.09,37.4949838,127.0545833,106,대치아이파크
210000,23,2008,147442,1171,11,78559.1,85,22,3,1250,3,205,5,3,27,대치1동,768,5218.09,37.4949838,127.0545833,110,대치아이파크
180000,5,2008,147442,1171,11,78559.1,60,22,3,1250,3,205,5,3,27,대치1동,768,5218.09,37.4949838,127.0545833,111,대치아이파크
210000,18,2008,147442,1171,11,78559.1,85,22,3,1250,3,205,5,3,16,대치1동,768,5218.09,37.4949838,127.0545833,116,대치아이파크
210000,15,2008,147442,1171,11,78559.1,85,22,3,1250,3,205,5,3,30,대치1동,768,5218.09,37.4949838,127.0545833,119,대치아이파크
